component,mass_kg
"Spars (4 spars, both sides)",4.3204
"Ribs (tape-spring × per side)",1.0642
"Skin (DCF + bond overhead)",0.7365
"Root fittings + cutters",1.6000
"Pneumatic deployment",0.7300
"Flight control system",0.8600
"Actuators + reversion",0.9700
"Drogue + bridle",0.3500
"Harness shell + interface",2.0000
"Margin (10 % of allocated)",1.2631
"TOTAL",13.8942
