dx_cg_mm,SM_pct,sp_omega_n,sp_zeta,ph_omega_n,ph_zeta,status
-50,-1.8940957963647227,,,,,UNSTABLE
-30,-0.06746857742981165,,,,,NEUTRAL
-20,0.8458450320376436,,,,,UNSTABLE
-10,1.7591586415050993,4.035923706319898,0.973539603682878,,,STABLE
0,2.6724722509725547,4.175629034533672,0.9320195242646505,,,STABLE
10,3.58578586044001,4.321242647317482,0.8931971679331091,,,STABLE
20,4.499099469907465,4.470625667277781,0.8572219997481382,,,STABLE
30,5.412413079374921,4.6220168664712835,0.8240725229881511,,,STABLE
50,7.239040298309832,4.925714342525758,0.7656639334316611,,,STABLE
