t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
0.3200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.3950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.4950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.5950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
