dt_ms,abs_dt_ms
9.6853,9.6853
-4.2362,4.2362
1.9372,1.9372
-3.7491,3.7491
-3.4028,3.4028
8.4886,8.4886
5.7168,5.7168
-1.3294,1.3294
8.7087,8.7087
-1.0100,1.0100
-0.5739,0.5739
4.0854,4.0854
-3.7009,3.7009
2.4585,2.4585
8.7906,8.7906
-6.6830,6.6830
6.3351,6.3351
8.5319,8.5319
1.5489,1.5489
-1.7560,1.7560
3.9719,3.9719
-6.6165,6.6165
-9.5772,9.5772
-3.1972,3.1972
-3.2824,3.2824
1.9383,1.9383
-1.7506,1.7506
-5.5018,5.5018
6.6192,6.6192
-11.4118,11.4118
9.0224,9.0224
-7.7394,7.7394
3.0688,3.0688
-0.6012,0.6012
1.4992,1.4992
-3.0927,3.0927
-0.5092,0.5092
1.3045,1.3045
3.4174,3.4174
1.9363,1.9363
5.0485,5.0485
-11.9618,11.9618
-12.4100,12.4100
-2.0703,2.0703
-7.8307,7.8307
6.4929,6.4929
-0.7395,0.7395
3.4702,3.4702
-1.8438,1.8438
8.9887,8.9887
8.3740,8.3740
6.9350,6.9350
-5.5923,5.5923
5.7455,5.7455
-9.2585,9.2585
-2.3518,2.3518
6.6715,6.6715
7.5360,7.5360
-1.0259,1.0259
-1.1755,1.1755
-6.6082,6.6082
3.4248,3.4248
-1.8511,1.8511
-2.6653,2.6653
0.4350,0.4350
-2.7231,2.7231
-10.1647,10.1647
6.2096,6.2096
-0.5707,0.5707
3.0290,3.0290
-1.7397,1.7397
6.9329,6.9329
-6.9649,6.9649
-4.5184,4.5184
5.2604,5.2604
-5.2975,5.2975
-0.6293,0.6293
0.1405,0.1405
1.5286,1.5286
-12.5763,12.5763
-11.6126,11.6126
-2.4082,2.4082
1.7234,1.7234
-4.2714,4.2714
4.3580,4.3580
1.6010,1.6010
-5.2943,5.2943
1.9691,1.9691
2.0674,2.0674
2.0293,2.0293
4.9035,4.9035
-4.8787,4.8787
2.6452,2.6452
5.4807,5.4807
2.4062,2.4062
5.6731,5.6731
-4.6430,4.6430
-0.8430,0.8430
6.6758,6.6758
-0.8718,0.8718
2.2965,2.2965
-4.9880,4.9880
-5.1841,5.1841
-2.9727,2.9727
-5.8792,5.8792
-2.0789,2.0789
-7.9104,7.9104
-14.9180,14.9180
-4.6230,4.6230
-0.0682,0.0682
-4.7511,4.7511
6.5709,6.5709
-0.7116,0.7116
2.0982,2.0982
0.6782,0.6782
10.7555,10.7555
3.6033,3.6033
-2.5335,2.5335
-5.1251,5.1251
-0.7378,0.7378
-5.9637,5.9637
0.2302,0.2302
2.0003,2.0003
2.3818,2.3818
0.9492,0.9492
1.4376,1.4376
-9.0504,9.0504
7.3882,7.3882
-6.3120,6.3120
-1.2954,1.2954
1.0537,1.0537
-7.2232,7.2232
2.1996,2.1996
-5.5500,5.5500
-5.2795,5.2795
2.4910,2.4910
-7.8417,7.8417
-2.2033,2.2033
-6.7845,6.7845
-4.9451,4.9451
4.0465,4.0465
0.2937,0.2937
7.0951,7.0951
2.4568,2.4568
3.9709,3.9709
-5.9364,5.9364
4.0780,4.0780
0.6334,0.6334
5.9788,5.9788
3.5833,3.5833
1.9391,1.9391
-1.8328,1.8328
-3.4916,3.4916
-1.3296,1.3296
-0.6873,0.6873
-1.0748,1.0748
3.3718,3.3718
-4.3935,4.3935
-8.0501,8.0501
-4.0918,4.0918
-5.1720,5.1720
1.5255,1.5255
-0.9160,0.9160
7.5589,7.5589
8.9090,8.9090
-4.5381,4.5381
-11.0354,11.0354
3.6069,3.6069
-12.2111,12.2111
9.4710,9.4710
-2.8456,2.8456
-0.1838,0.1838
3.0748,3.0748
-6.7293,6.7293
-2.9949,2.9949
8.5487,8.5487
3.2007,3.2007
0.4243,0.4243
4.6403,4.6403
1.0016,1.0016
8.8462,8.8462
-2.1854,2.1854
-5.1683,5.1683
-2.8552,2.8552
-3.7340,3.7340
-10.7019,10.7019
4.2882,4.2882
-3.3285,3.3285
2.7498,2.7498
2.2585,2.2585
0.5214,0.5214
-2.0168,2.0168
-5.0276,5.0276
0.8709,0.8709
-7.0427,7.0427
-6.1276,6.1276
-1.0501,1.0501
0.7494,0.7494
-0.9103,0.9103
-1.0984,1.0984
-1.1662,1.1662
2.2458,2.2458
7.1085,7.1085
5.7838,5.7838
4.5766,4.5766
-5.4862,5.4862
-3.6151,3.6151
-2.7815,2.7815
4.8522,4.8522
2.7717,2.7717
1.2184,1.2184
5.6633,5.6633
4.1958,4.1958
-0.4289,0.4289
-4.6921,4.6921
7.2163,7.2163
-1.5268,1.5268
-9.5481,9.5481
2.6311,2.6311
0.0952,0.0952
-0.5196,0.5196
7.2396,7.2396
2.0960,2.0960
-2.1454,2.1454
6.4443,6.4443
12.9989,12.9989
9.5948,9.5948
-14.3859,14.3859
4.6226,4.6226
2.5805,2.5805
-7.2310,7.2310
4.4353,4.4353
-4.1903,4.1903
0.9284,0.9284
-11.0891,11.0891
-8.0387,8.0387
0.8870,0.8870
-3.7982,3.7982
-2.9682,2.9682
5.3063,5.3063
-8.7822,8.7822
9.7082,9.7082
2.5778,2.5778
-1.0695,1.0695
0.6237,0.6237
3.9652,3.9652
0.0468,0.0468
9.6144,9.6144
-3.2990,3.2990
3.3389,3.3389
1.6476,1.6476
0.9291,0.9291
0.8836,0.8836
-0.9460,0.9460
-0.8998,0.8998
-0.8974,0.8974
0.8982,0.8982
0.1261,0.1261
9.3422,9.3422
-4.2892,4.2892
1.8885,1.8885
4.5215,4.5215
4.6921,4.6921
-2.7568,2.7568
3.8200,3.8200
-2.2984,2.2984
-0.0730,0.0730
-2.9481,2.9481
2.4835,2.4835
-4.8011,4.8011
-2.0081,2.0081
-13.4112,13.4112
-0.2431,0.2431
7.3409,7.3409
5.3251,5.3251
-4.0116,4.0116
-1.2351,1.2351
-1.4615,1.4615
1.3470,1.3470
-1.3240,1.3240
-4.8491,4.8491
12.1065,12.1065
1.9180,1.9180
-0.9210,0.9210
-2.7238,2.7238
2.0267,2.0267
-7.8758,7.8758
-9.7897,9.7897
0.5550,0.5550
7.8696,7.8696
-16.8231,16.8231
0.0839,0.0839
2.8994,2.8994
4.4499,4.4499
-1.1522,1.1522
-4.0177,4.0177
2.8162,2.8162
-3.3249,3.3249
3.5675,3.5675
1.5325,1.5325
2.5877,2.5877
-6.4606,6.4606
7.2032,7.2032
-2.4520,2.4520
1.8692,1.8692
-0.6951,0.6951
-4.1384,4.1384
-5.1802,5.1802
-0.8613,0.8613
5.2364,5.2364
-1.9693,1.9693
-2.6669,2.6669
8.2293,8.2293
0.6942,0.6942
-9.0203,9.0203
10.4073,10.4073
-5.1933,5.1933
-4.6383,4.6383
7.5630,7.5630
2.6413,2.6413
-4.8492,4.8492
0.9538,0.9538
5.7633,5.7633
2.1437,2.1437
-6.6332,6.6332
-11.6501,11.6501
8.7268,8.7268
1.6725,1.6725
-4.4545,4.4545
-4.8835,4.8835
-3.1359,3.1359
1.7695,1.7695
3.8815,3.8815
0.2660,0.2660
5.2377,5.2377
8.0424,8.0424
1.3738,1.3738
-6.4687,6.4687
3.8188,3.8188
8.9994,8.9994
5.6725,5.6725
7.3795,7.3795
-4.5429,4.5429
-5.9488,5.9488
