alpha_deg,y,chord,cl_section,span_load_cl_c,alpha_ind_deg
-2.000,3.1399,0.59240,-0.29450,-0.17447,4.0204
-2.000,3.1461,0.59066,-0.24088,-0.14228,4.5713
-2.000,3.1492,0.58979,-0.17541,-0.10346,5.2353
-1.000,-3.1492,0.58979,-0.14315,-0.08443,4.5596
-1.000,-3.1461,0.59066,-0.19656,-0.11610,4.0168
-1.000,-3.1399,0.59240,-0.24027,-0.14234,3.5656
-1.000,-3.1306,0.59502,-0.27424,-0.16318,3.2064
-1.000,-3.1182,0.59850,-0.30086,-0.18007,2.9152
-1.000,-3.1027,0.60285,-0.32177,-0.19398,2.6755
-1.000,-3.0842,0.60805,-0.33808,-0.20557,2.4762
-1.000,-3.0626,0.61411,-0.35058,-0.21529,2.3095
-1.000,-3.0380,0.62102,-0.35986,-0.22348,2.1694
-1.000,-3.0104,0.62877,-0.36638,-0.23037,2.0512
-1.000,-2.9798,0.63735,-0.37051,-0.23615,1.9514
-1.000,-2.9463,0.64676,-0.37256,-0.24096,1.8670
-1.000,-2.9099,0.65699,-0.37277,-0.24491,1.7955
-1.000,-2.8706,0.66802,-0.37136,-0.24808,1.7349
-1.000,-2.8284,0.67985,-0.36851,-0.25053,1.6833
-1.000,-2.7835,0.69246,-0.36438,-0.25232,1.6392
-1.000,-2.7359,0.70584,-0.35911,-0.25347,1.6014
-1.000,-2.6855,0.71998,-0.35282,-0.25402,1.5687
-1.000,-2.6325,0.73486,-0.34562,-0.25398,1.5401
-1.000,-2.5769,0.75048,-0.33762,-0.25338,1.5146
-1.000,-2.5187,0.76681,-0.32890,-0.25220,1.4915
-1.000,-2.4581,0.78383,-0.31955,-0.25047,1.4699
-1.000,-2.3950,0.80154,-0.30964,-0.24819,1.4494
-1.000,-2.3296,0.81991,-0.29924,-0.24535,1.4293
-1.000,-2.2618,0.83892,-0.28843,-0.24197,1.4089
-1.000,-2.1919,0.85857,-0.27726,-0.23805,1.3880
-1.000,-2.1197,0.87882,-0.26579,-0.23358,1.3659
-1.000,-2.0455,0.89965,-0.25408,-0.22858,1.3422
-1.000,-1.9693,0.92106,-0.24218,-0.22306,1.3166
-1.000,-1.8911,0.94300,-0.23014,-0.21702,1.2887
-1.000,-1.8110,0.96548,-0.21801,-0.21048,1.2582
-1.000,-1.7292,0.98845,-0.20584,-0.20346,1.2246
-1.000,-1.6457,1.01191,-0.19368,-0.19598,1.1878
-1.000,-1.5605,1.03582,-0.18156,-0.18806,1.1474
-1.000,-1.4738,1.06016,-0.16954,-0.17974,1.1030
-1.000,-1.3856,1.08491,-0.15765,-0.17104,1.0546
-1.000,-1.2961,1.11004,-0.14595,-0.16201,1.0017
-1.000,-1.2053,1.13554,-0.13446,-0.15269,0.9442
-1.000,-1.1133,1.16136,-0.12324,-0.14312,0.8818
-1.000,-1.0202,1.18750,-0.11231,-0.13337,0.8143
-1.000,-0.9261,1.21392,-0.10173,-0.12350,0.7414
-1.000,-0.8311,1.24059,-0.09154,-0.11356,0.6629
-1.000,-0.7353,1.26750,-0.08176,-0.10363,0.5787
-1.000,-0.6387,1.29461,-0.07244,-0.09378,0.4884
-1.000,-0.5415,1.32190,-0.06362,-0.08410,0.3919
-1.000,-0.4438,1.34933,-0.05534,-0.07467,0.2891
-1.000,-0.3456,1.37689,-0.04761,-0.06555,0.1798
-1.000,-0.2471,1.40455,-0.04045,-0.05682,0.0641
-1.000,-0.1484,1.43227,-0.03384,-0.04846,-0.0575
-1.000,-0.0495,1.46003,-0.02753,-0.04020,-0.1825
-1.000,0.0495,1.46003,-0.02753,-0.04020,-0.1825
-1.000,0.1484,1.43227,-0.03384,-0.04846,-0.0575
-1.000,0.2471,1.40455,-0.04045,-0.05682,0.0641
-1.000,0.3456,1.37689,-0.04761,-0.06555,0.1798
-1.000,0.4438,1.34933,-0.05534,-0.07467,0.2891
-1.000,0.5415,1.32190,-0.06362,-0.08410,0.3919
